power_limit_w,timestamp,gpu_index,pstate,clk_graphics_mhz,clk_sm_mhz,clk_mem_mhz,power_draw_w,temp_c
300,1777241046.437,8,P0,1335,1335,12481,300.37,38
300,1777241047.672,8,P0,1335,1335,12481,300.15,39
300,1777241048.878,8,P0,1335,1335,12481,300.19,39
300,1777241050.185,8,P0,1342,1342,12481,300.18,40
300,1777241051.428,8,P0,1327,1327,12481,300.44,40
300,1777241052.641,8,P0,1327,1327,12481,300.08,41
300,1777241053.857,8,P0,1327,1327,12481,299.62,41
300,1777241055.078,8,P0,1320,1320,12481,299.69,42
300,1777241056.288,8,P0,1320,1320,12481,300.10,42
300,1777241057.500,8,P0,1320,1320,12481,300.02,43
300,1777241058.710,8,P0,1320,1320,12481,299.91,43
300,1777241059.983,8,P0,1320,1320,12481,300.08,44
300,1777241061.206,8,P0,1320,1320,12481,299.84,44
300,1777241062.415,8,P0,1440,1440,12481,300.08,44
300,1777241063.632,8,P0,1455,1455,12481,301.19,45
300,1777241064.848,8,P0,1455,1455,12481,300.18,45
300,1777241066.060,8,P0,1432,1432,12481,299.75,45
300,1777241067.270,8,P0,1425,1425,12481,299.81,46
300,1777241068.572,8,P0,1425,1425,12481,300.17,46
300,1777241069.846,8,P0,1425,1425,12481,300.09,46
300,1777241071.060,8,P0,1425,1425,12481,300.65,47
300,1777241072.268,8,P0,1425,1425,12481,300.18,47
300,1777241073.483,8,P0,1425,1425,12481,300.12,48
300,1777241074.705,8,P0,1425,1425,12481,300.17,48
300,1777241075.913,8,P0,1425,1425,12481,300.18,48
300,1777241077.123,8,P0,1425,1425,12481,300.11,48
300,1777241078.432,8,P0,1425,1425,12481,300.55,47
300,1777241079.681,8,P0,1425,1425,12481,299.86,49
300,1777241080.915,8,P0,1425,1425,12481,299.71,49
300,1777241082.403,8,P0,1425,1425,12481,300.17,50
350,1777241095.940,8,P0,1552,1552,12481,347.60,52
350,1777241097.150,8,P0,1552,1552,12481,349.94,53
350,1777241098.371,8,P0,1560,1560,12481,350.06,53
350,1777241099.588,8,P0,1552,1552,12481,349.98,54
350,1777241100.807,8,P0,1605,1605,12481,346.46,54
350,1777241102.027,8,P0,1567,1567,12481,349.57,54
350,1777241103.238,8,P0,1560,1560,12481,349.87,55
350,1777241104.533,8,P0,1560,1560,12481,350.35,55
350,1777241105.805,8,P0,1560,1560,12481,349.83,55
350,1777241107.032,8,P0,1560,1560,12481,347.95,56
350,1777241108.249,8,P0,1560,1560,12481,350.07,56
350,1777241109.462,8,P0,1560,1560,12481,350.73,56
350,1777241110.673,8,P0,1552,1552,12481,349.37,56
350,1777241111.886,8,P0,1852,1852,12481,348.10,57
350,1777241113.116,8,P0,1552,1552,12481,350.13,57
350,1777241114.526,8,P0,1552,1552,12481,352.41,57
350,1777241115.743,8,P0,1552,1552,12481,350.28,57
350,1777241116.954,8,P0,1552,1552,12481,350.05,58
350,1777241118.168,8,P0,1552,1552,12481,349.52,58
350,1777241119.410,8,P0,1545,1545,12481,350.04,58
350,1777241120.642,8,P0,1545,1545,12481,347.57,58
350,1777241121.999,8,P0,1545,1545,12481,350.92,59
350,1777241123.269,8,P0,1545,1545,12481,351.36,59
350,1777241124.477,8,P0,1545,1545,12481,349.72,59
350,1777241125.699,8,P0,1845,1845,12481,349.52,59
350,1777241126.949,8,P0,1545,1545,12481,349.93,60
350,1777241128.158,8,P0,1545,1545,12481,349.82,60
350,1777241129.372,8,P0,1545,1545,12481,351.73,60
350,1777241130.610,8,P0,1545,1545,12481,349.53,60
350,1777241131.878,8,P0,2422,2422,12481,185.22,55
400,1777241145.264,8,P0,1672,1672,12481,406.06,61
400,1777241146.477,8,P0,1665,1665,12481,400.40,62
400,1777241147.699,8,P0,1665,1665,12481,395.81,62
400,1777241148.925,8,P0,1665,1665,12481,400.07,62
400,1777241150.134,8,P0,1657,1657,12481,403.14,63
400,1777241151.467,8,P0,1657,1657,12481,400.69,63
400,1777241152.728,8,P0,1657,1657,12481,399.79,63
400,1777241153.955,8,P0,1657,1657,12481,399.89,64
400,1777241155.177,8,P0,1672,1672,12481,397.38,64
400,1777241156.387,8,P0,1672,1672,12481,399.85,64
400,1777241157.599,8,P0,1672,1672,12481,404.60,64
400,1777241158.811,8,P0,1672,1672,12481,401.92,65
400,1777241160.101,8,P0,1672,1672,12481,401.04,65
400,1777241161.420,8,P0,1672,1672,12481,399.52,65
400,1777241162.636,8,P0,1665,1665,12481,397.89,65
400,1777241163.846,8,P0,1665,1665,12481,399.83,66
400,1777241165.061,8,P0,1950,1950,12481,397.57,66
400,1777241166.298,8,P0,1665,1665,12481,401.98,66
400,1777241167.528,8,P0,1972,1972,12481,400.41,67
400,1777241168.797,8,P0,1665,1665,12481,400.33,67
400,1777241170.065,8,P0,1912,1912,12481,403.25,67
400,1777241171.276,8,P0,1665,1665,12481,400.42,67
400,1777241172.486,8,P0,1702,1702,12481,402.43,65
400,1777241173.713,8,P0,1665,1665,12481,400.11,67
400,1777241174.933,8,P0,1657,1657,12481,393.73,68
400,1777241176.147,8,P0,1657,1657,12481,399.49,68
400,1777241177.355,8,P0,1657,1657,12481,399.53,68
400,1777241178.648,8,P0,1657,1657,12481,404.28,68
400,1777241179.920,8,P0,1657,1657,12481,399.88,68
400,1777241181.266,8,P0,1657,1657,12481,400.21,69
450,1777241194.700,8,P0,1762,1762,12481,449.87,69
450,1777241195.936,8,P0,1897,1897,12481,446.17,70
450,1777241197.287,8,P0,1762,1762,12481,449.93,70
450,1777241198.562,8,P0,2025,2025,12481,449.52,70
450,1777241199.774,8,P0,1755,1755,12481,450.08,70
450,1777241200.991,8,P0,2085,2085,12481,455.47,71
450,1777241202.210,8,P0,1755,1755,12481,450.32,71
450,1777241203.427,8,P0,2062,2062,12481,446.91,71
450,1777241204.642,8,P0,1755,1755,12481,450.05,72
450,1777241205.854,8,P0,1920,1920,12481,451.34,72
450,1777241207.121,8,P0,1755,1755,12481,450.17,72
450,1777241208.332,8,P0,1822,1822,12481,444.27,72
450,1777241209.555,8,P0,1770,1770,12481,448.90,73
450,1777241210.765,8,P0,2070,2070,12481,450.76,73
450,1777241211.975,8,P0,1770,1770,12481,449.38,73
450,1777241213.187,8,P0,2077,2077,12481,446.00,73
450,1777241214.397,8,P0,1770,1770,12481,451.08,74
450,1777241215.611,8,P0,2062,2062,12481,453.46,74
