power_limit_w,timestamp,gpu_index,pstate,clk_graphics_mhz,clk_sm_mhz,clk_mem_mhz,power_draw_w,temp_c
150,1777241651.845,14,P1,630,630,13365,151.45,28
150,1777241653.091,14,P1,630,630,13365,149.80,29
150,1777241654.350,14,P1,622,622,13365,151.82,28
150,1777241655.547,14,P1,622,622,13365,149.49,29
150,1777241656.748,14,P1,615,615,13365,150.26,28
150,1777241657.958,14,P1,622,622,13365,151.75,29
150,1777241659.176,14,P1,622,622,13365,150.20,28
150,1777241660.376,14,P1,622,622,13365,148.39,29
150,1777241661.575,14,P1,615,615,13365,150.28,29
150,1777241662.834,14,P1,630,630,13365,148.41,30
150,1777241664.090,14,P1,622,622,13365,148.46,29
150,1777241665.297,14,P1,645,645,13365,150.18,29
150,1777241666.494,14,P1,622,622,13365,148.22,30
150,1777241667.695,14,P1,622,622,13365,149.69,30
150,1777241668.895,14,P1,630,630,13365,151.62,30
150,1777241670.098,14,P1,630,630,13365,151.47,31
150,1777241671.297,14,P1,622,622,13365,150.08,30
150,1777241672.536,14,P1,622,622,13365,151.74,31
150,1777241673.779,14,P1,622,622,13365,150.14,30
150,1777241674.976,14,P1,682,682,13365,150.92,30
150,1777241676.178,14,P1,615,615,13365,149.29,30
150,1777241677.379,14,P1,630,630,13365,148.53,31
150,1777241678.579,14,P1,622,622,13365,148.37,31
150,1777241679.786,14,P1,622,622,13365,149.85,32
150,1777241680.984,14,P1,615,615,13365,148.42,31
150,1777241682.235,14,P1,622,622,13365,149.71,32
150,1777241683.478,14,P1,622,622,13365,149.88,32
150,1777241684.680,14,P1,630,630,13365,151.45,32
150,1777241685.893,14,P1,615,615,13365,150.10,32
150,1777241687.102,14,P1,630,630,13365,151.72,32
200,1777241700.506,14,P1,667,667,13365,199.99,35
200,1777241701.760,14,P1,667,667,13365,200.00,35
200,1777241702.956,14,P1,660,660,13365,199.99,36
200,1777241704.161,14,P1,660,660,13365,199.99,36
200,1777241705.359,14,P1,660,660,13365,199.99,36
200,1777241706.567,14,P1,667,667,13365,200.00,36
200,1777241707.767,14,P1,667,667,13365,200.00,36
200,1777241708.966,14,P1,660,660,13365,200.00,36
200,1777241710.256,14,P1,660,660,13365,199.99,36
200,1777241711.518,14,P1,667,667,13365,200.00,36
200,1777241712.762,14,P1,667,667,13365,199.99,36
200,1777241713.969,14,P1,660,660,13365,200.00,37
200,1777241715.176,14,P1,660,660,13365,199.99,37
200,1777241716.379,14,P1,667,667,13365,200.01,37
200,1777241717.580,14,P1,660,660,13365,199.99,37
200,1777241718.912,14,P1,660,660,13365,199.99,37
200,1777241720.172,14,P1,660,660,13365,199.99,37
200,1777241721.371,14,P1,667,667,13365,200.00,37
200,1777241722.575,14,P1,667,667,13365,199.99,37
200,1777241723.832,14,P1,660,660,13365,200.00,37
200,1777241725.035,14,P1,660,660,13365,199.99,38
200,1777241726.256,14,P1,660,660,13365,200.00,38
200,1777241727.519,14,P1,660,660,13365,199.99,38
200,1777241728.765,14,P1,660,660,13365,200.00,38
200,1777241729.967,14,P1,660,660,13365,199.99,38
200,1777241731.174,14,P1,667,667,13365,200.00,38
200,1777241732.376,14,P1,667,667,13365,199.99,38
200,1777241733.824,14,P1,660,660,13365,200.00,38
200,1777241735.301,14,P1,2610,2610,13365,81.51,35
200,1777241736.499,14,P1,510,510,13365,63.28,33
250,1777241749.972,14,P1,832,832,13365,249.99,39
250,1777241751.281,14,P1,832,832,13365,249.99,39
250,1777241752.523,14,P1,832,832,13365,250.00,40
250,1777241753.723,14,P1,982,982,13365,250.00,39
250,1777241754.983,14,P1,840,840,13365,250.00,40
250,1777241756.185,14,P1,832,832,13365,250.00,40
250,1777241757.387,14,P1,832,832,13365,249.99,40
250,1777241758.597,14,P1,982,982,13365,249.99,40
250,1777241759.882,14,P1,832,832,13365,250.00,41
250,1777241761.150,14,P1,832,832,13365,250.00,41
250,1777241762.353,14,P1,832,832,13365,249.99,41
250,1777241763.551,14,P1,877,877,13365,250.00,41
250,1777241764.783,14,P1,832,832,13365,249.99,41
250,1777241765.989,14,P1,832,832,13365,249.99,41
250,1777241767.186,14,P1,832,832,13365,250.00,41
250,1777241768.385,14,P1,832,832,13365,249.99,41
250,1777241769.668,14,P1,832,832,13365,250.00,41
250,1777241770.889,14,P1,832,832,13365,249.99,42
250,1777241772.109,14,P1,832,832,13365,249.99,42
250,1777241773.310,14,P1,832,832,13365,250.00,42
250,1777241774.508,14,P1,832,832,13365,249.99,42
250,1777241775.711,14,P1,832,832,13365,249.99,42
250,1777241776.913,14,P1,832,832,13365,249.99,42
250,1777241778.116,14,P1,832,832,13365,249.99,42
250,1777241779.361,14,P1,832,832,13365,249.99,42
250,1777241780.593,14,P1,832,832,13365,249.99,42
250,1777241781.792,14,P1,832,832,13365,250.00,42
250,1777241782.991,14,P1,832,832,13365,250.01,42
250,1777241784.191,14,P1,832,832,13365,250.00,42
250,1777241785.506,14,P1,832,832,13365,249.99,43
300,1777241799.034,14,P1,997,997,13365,300.00,45
300,1777241800.239,14,P1,997,997,13365,300.00,45
300,1777241801.445,14,P1,997,997,13365,299.99,45
300,1777241802.643,14,P1,997,997,13365,299.99,45
300,1777241803.890,14,P1,997,997,13365,299.99,45
300,1777241805.088,14,P1,997,997,13365,299.99,45
300,1777241806.356,14,P1,997,997,13365,300.00,46
300,1777241807.625,14,P1,997,997,13365,299.99,46
300,1777241808.855,14,P1,997,997,13365,300.00,46
300,1777241810.057,14,P1,997,997,13365,300.00,46
300,1777241811.256,14,P1,990,990,13365,300.00,46
300,1777241812.455,14,P1,997,997,13365,299.99,46
300,1777241813.672,14,P1,997,997,13365,299.98,46
300,1777241814.894,14,P1,990,990,13365,299.99,46
300,1777241816.124,14,P1,990,990,13365,299.99,46
300,1777241817.337,14,P1,997,997,13365,299.99,47
300,1777241818.536,14,P1,990,990,13365,299.99,47
300,1777241819.733,14,P1,990,990,13365,299.99,47
300,1777241820.954,14,P1,990,990,13365,300.00,47
300,1777241822.187,14,P1,990,990,13365,300.00,47
300,1777241823.383,14,P1,990,990,13365,299.99,47
300,1777241824.600,14,P1,997,997,13365,299.99,47
300,1777241825.843,14,P1,1312,1312,13365,299.98,45
300,1777241827.043,14,P1,997,997,13365,299.99,47
300,1777241828.256,14,P1,997,997,13365,299.99,47
300,1777241829.454,14,P1,997,997,13365,299.99,47
300,1777241830.652,14,P1,997,997,13365,299.99,47
